Year,Sector,Gear,No.Obs.Vessels,No.Obs.Trips,N.Obs.Halus,No.FG.Units,Tow.Soak.Duration.Obs,ObservedRetainedGF,Fleet.Wide.Landed,Coverage.Rate
2002,Limited Entry Trawl,Bottom Trawl,132,573,3163,,13471.8,2680,18001.5,15%
2003,Limited Entry Trawl,Bottom Trawl,125,462,2289,,11496.1,2590.4,18382.1,14%
2004,Limited Entry Trawl,Bottom Trawl,103,615,3441,,13837.8,4309.8,17667.8,24%
2005,Limited Entry Trawl,Bottom Trawl,105,522,3460,,12621,4241.6,19285.3,22%
2006,Limited Entry Trawl,Bottom Trawl,87,477,2977,,11456,3443.3,17794.9,19%
2007,Limited Entry Trawl,Bottom Trawl,88,371,2515,,11380.6,3442.3,20442.5,17%
2008,Limited Entry Trawl,Bottom Trawl,100,438,3185,,15004.2,4905.2,24187.5,20%
2009,Limited Entry Trawl,Bottom Trawl,101,590,4394,,19581.1,6053.5,26055.5,23%
2010,Limited Entry Trawl,Bottom Trawl,83,347,2614,,13039.7,4019.5,22320.2,18%
2011,Catch Shares,Bottom Trawl,71,1110,9085,,39895.4,17244.4,17244.4,100%
2011,Catch Shares,Hook & Line,11,92,622,2246390,6593.9,336,336,100%
2011,Catch Shares,Pot,17,227,1515,40916,103517.7,817.2,817.2,100%
2012,Catch Shares,Bottom Trawl,66,1071,8887,,37894.6,17103.5,17103.5,100%
2012,Catch Shares,Hook & Line,8,32,500,1457804,4588,241.3,241.3,100%
2012,Catch Shares,Midwater Trawl,4,9,30,,70.4,197.6,197.6,100%
2012,Catch Shares,Pot,19,258,1699,51939,145400,739.6,739.6,100%
2013,Catch Shares,Bottom Trawl,68,1211,10070,,42217.7,18620.5,18620.5,100%
2013,Catch Shares,Hook & Line,4,18,153,580992,1218,85.6,85.6,100%
2013,Catch Shares,Midwater Trawl,5,19,59,,113.1,404.7,404.7,100%
2013,Catch Shares,Pot,10,93,1078,29936,84926.9,470.8,470.8,100%
2014,Catch Shares,Bottom Trawl,63,1012,8246,,34026,15994.9,15994.9,100%
2014,Catch Shares,Hook & Line,4,17,146,573933,1315.4,86.4,86.4,100%
2014,Catch Shares,Midwater Trawl,9,34,125,,257.1,873.7,873.7,100%
2014,Catch Shares,Pot,14,113,1246,31582,81643.4,685.4,685.4,100%
