Species,Interaction,No.individuals,Year,Gear,Sector,Coverage.rate
California Sea Lion,Boarded vessel,1,2011,Bottom Trawl,Catch Shares,1
California Sea Lion,Boarded vessel,1,2012,Bottom Trawl,Catch Shares,1
California Sea Lion,Deterrence used,3,2011,Bottom Trawl,Catch Shares,1
California Sea Lion,Deterrence used,4,2011,Hook & Line,Catch Shares,1
California Sea Lion,Deterrence used,10,2014,Hook & Line,Catch Shares,1
California Sea Lion,Entangled in gear - not trailing gear,2,2003,Bottom Trawl,Limited Entry Trawl,0.14
California Sea Lion,Entangled in gear - not trailing gear,3,2005,Bottom Trawl,Limited Entry Trawl,0.22
California Sea Lion,Entangled in gear - not trailing gear,2,2006,Bottom Trawl,Limited Entry Trawl,0.19
California Sea Lion,Entangled in gear - not trailing gear,2,2008,Bottom Trawl,Limited Entry Trawl,0.2
California Sea Lion,Entangled in gear - not trailing gear,4,2009,Bottom Trawl,Limited Entry Trawl,0.23
California Sea Lion,Entangled in gear - not trailing gear,7,2011,Bottom Trawl,Catch Shares,1
California Sea Lion,Entangled in gear - not trailing gear,6,2012,Bottom Trawl,Catch Shares,1
California Sea Lion,Entangled in gear - not trailing gear,3,2013,Bottom Trawl,Catch Shares,1
California Sea Lion,Entangled in gear - not trailing gear,2,2014,Bottom Trawl,Catch Shares,1
California Sea Lion,Entangled in gear - trailing gear,1,2011,Bottom Trawl,Catch Shares,1
California Sea Lion,Entangled in gear - trailing gear,2,2013,Bottom Trawl,Catch Shares,1
California Sea Lion,Feeding on catch,85,2002,Bottom Trawl,Limited Entry Trawl,0.15
California Sea Lion,Feeding on catch,52,2003,Bottom Trawl,Limited Entry Trawl,0.14
California Sea Lion,Feeding on catch,11,2004,Bottom Trawl,Limited Entry Trawl,0.24
California Sea Lion,Feeding on catch,25,2005,Bottom Trawl,Limited Entry Trawl,0.22
California Sea Lion,Feeding on catch,20,2006,Bottom Trawl,Limited Entry Trawl,0.19
California Sea Lion,Feeding on catch,32,2007,Bottom Trawl,Limited Entry Trawl,0.17
